Date,Model,Region,Units_Sold,Price_Per_Unit,Revenue,Expenses,Profit
2023-07-29,iPhone 14,North,15,120000,1800000,1337991.185057185,462008.8149428151
2023-07-29,iPhone 14,North,15,80000,1200000,843993.768420333,356006.23157966696
2023-07-29,iPhone 15,North,10,90000,900000,720476.2006116525,179523.79938834754
2023-07-29,iPhone 13,West,12,70000,840000,588515.5874385836,251484.4125614164
2023-07-30,iPhone 15 Pro,North,7,70000,490000,356996.14918509196,133003.85081490804
2023-07-30,iPhone 15 Pro,West,5,90000,450000,349717.8964883252,100282.1035116748
2023-07-30,iPhone 14,West,10,70000,700000,516248.07186998794,183751.92813001206
2023-07-30,iPhone 15,West,18,70000,1260000,1056263.0496094488,203736.95039055124
2023-07-30,iPhone 15,West,10,80000,800000,632192.6635521617,167807.33644783834
2023-07-30,iPhone 13,South,17,70000,1190000,984610.1045726663,205389.89542733366
2023-07-31,iPhone 13,East,4,80000,320000,246773.73019326894,73226.26980673106
2023-07-31,iPhone 15 Pro,South,2,90000,180000,139437.68877050045,40562.31122949955
2023-07-31,iPhone 15 Pro,West,6,70000,420000,296229.1220369771,123770.87796302291
2023-07-31,iPhone 15 Pro,North,5,120000,600000,388821.42730448314,211178.57269551686
2023-08-01,iPhone 13,North,1,70000,70000,51106.86395487684,18893.13604512316
2023-08-01,iPhone 15 Pro,North,18,80000,1440000,912682.3154824988,527317.6845175012
2023-08-01,iPhone 15,North,2,80000,160000,113977.47101232181,46022.52898767819
2023-08-01,iPhone 13,North,16,120000,1920000,1226194.6327078883,693805.3672921117
2023-08-01,iPhone 15 Pro,West,1,70000,70000,46250.91925687887,23749.08074312113
2023-08-01,iPhone 13,South,10,120000,1200000,825394.6635759526,374605.33642404736
2023-08-01,iPhone 13,West,1,70000,70000,56131.4529353401,13868.547064659899
2023-08-01,iPhone 14,West,4,90000,360000,295337.7943237806,64662.205676219426
2023-08-02,iPhone 14,South,15,80000,1200000,880649.914626712,319350.085373288
2023-08-02,iPhone 15 Pro,West,18,80000,1440000,1032750.381756389,407249.61824361095
2023-08-02,iPhone 15 Pro,East,6,80000,480000,328548.17109300755,151451.82890699245
2023-08-02,iPhone 15,East,2,80000,160000,99391.22494919017,60608.775050809825
2023-08-02,iPhone 15 Pro,North,17,80000,1360000,1130411.4521678176,229588.54783218238
2023-08-02,iPhone 15 Pro,South,8,120000,960000,774927.0175602124,185072.9824397876
2023-08-02,iPhone 14,West,15,70000,1050000,804806.6331954284,245193.3668045716
2023-08-03,iPhone 13,South,8,90000,720000,473514.2362190544,246485.76378094562
2023-08-03,iPhone 15,North,9,80000,720000,441019.2653891943,278980.7346108057
2023-08-03,iPhone 14,North,2,80000,160000,109761.63154458911,50238.36845541089
2023-08-03,iPhone 13,East,19,90000,1710000,1088616.2499334805,621383.7500665195
2023-08-03,iPhone 15 Pro,West,15,70000,1050000,691822.543533624,358177.45646637597
2023-08-03,iPhone 14,North,16,120000,1920000,1152266.0086009218,767733.9913990782
2023-08-03,iPhone 15 Pro,East,3,70000,210000,170451.78797589606,39548.21202410394
2023-08-04,iPhone 15,North,17,90000,1530000,1169760.5086416127,360239.4913583873
2023-08-04,iPhone 14,East,17,80000,1360000,1034730.266649768,325269.733350232
2023-08-04,iPhone 13,West,19,80000,1520000,1137929.9736971601,382070.02630283986
2023-08-04,iPhone 15,South,8,80000,640000,429540.785910291,210459.21408970898
2023-08-04,iPhone 15 Pro,West,12,80000,960000,592960.3656739389,367039.6343260611
2023-08-04,iPhone 13,East,15,120000,1800000,1177837.5754148653,622162.4245851347
2023-08-04,iPhone 15 Pro,South,1,70000,70000,54806.01043902228,15193.989560977723
2023-08-04,iPhone 13,West,16,70000,1120000,805533.519149037,314466.48085096304
2023-08-04,iPhone 15,East,6,80000,480000,321089.55127020436,158910.44872979564
2023-08-05,iPhone 15,West,5,70000,350000,259492.92700078167,90507.07299921833
2023-08-05,iPhone 15 Pro,North,7,70000,490000,376903.9013018559,113096.09869814408
2023-08-05,iPhone 14,East,8,70000,560000,440171.2621747084,119828.73782529158
2023-08-05,iPhone 14,South,18,70000,1260000,865776.0346974909,394223.96530250914
2023-08-05,iPhone 15 Pro,South,7,120000,840000,661517.655739219,178482.34426078096
2023-08-05,iPhone 15,South,1,90000,90000,55201.875118526485,34798.124881473515
2023-08-05,iPhone 14,South,14,120000,1680000,1173261.8312472228,506738.16875277716
2023-08-05,iPhone 15 Pro,North,14,90000,1260000,909922.8275861089,350077.17241389106
2023-08-06,iPhone 14,West,9,80000,720000,442208.7248908006,277791.2751091994
2023-08-06,iPhone 14,West,17,70000,1190000,772193.6763850272,417806.32361497276
2023-08-06,iPhone 15 Pro,North,10,90000,900000,695529.0925057373,204470.90749426268
2023-08-06,iPhone 15 Pro,West,2,70000,140000,105282.46566946784,34717.53433053216
2023-08-06,iPhone 15 Pro,North,15,90000,1350000,1074699.4628661952,275300.53713380476
2023-08-06,iPhone 14,North,18,80000,1440000,1212924.9590161592,227075.04098384082
2023-08-06,iPhone 15,South,12,80000,960000,653797.0567109215,306202.94328907854
2023-08-06,iPhone 14,West,2,80000,160000,128343.44677716392,31656.553222836083
2023-08-06,iPhone 15,East,18,90000,1620000,1316455.174773169,303544.825226831
2023-08-06,iPhone 13,West,2,80000,160000,99507.86836649236,60492.13163350764
2023-08-07,iPhone 15,West,10,70000,700000,487971.3709275916,212028.62907240842
2023-08-07,iPhone 13,East,18,70000,1260000,779505.002504143,480494.99749585695
2023-08-08,iPhone 15,East,7,90000,630000,458101.0226943226,171898.97730567743
2023-08-08,iPhone 13,South,17,80000,1360000,1114944.6746464467,245055.3253535533
2023-08-08,iPhone 15,South,19,80000,1520000,1000456.280086242,519543.719913758
2023-08-08,iPhone 15,North,4,70000,280000,230297.20851307226,49702.791486927745
2023-08-08,iPhone 14,North,13,80000,1040000,858314.2713188193,181685.72868118074
2023-08-08,iPhone 13,South,6,120000,720000,458575.8286746885,261424.17132531147
2023-08-08,iPhone 15,North,9,120000,1080000,672261.6378600127,407738.3621399873
2023-08-08,iPhone 15 Pro,West,19,70000,1330000,1110040.0988204062,219959.90117959375
2023-08-08,iPhone 15,East,1,120000,120000,89824.78073638954,30175.21926361046
2023-08-08,iPhone 14,North,1,80000,80000,57725.71144702692,22274.288552973077
2023-08-08,iPhone 15,West,8,80000,640000,392155.8457266658,247844.1542733342
2023-08-09,iPhone 15 Pro,North,17,70000,1190000,1010354.8601827156,179645.13981728442
2023-08-09,iPhone 14,East,12,120000,1440000,1005543.731371536,434456.26862846396
2023-08-09,iPhone 13,South,4,80000,320000,197155.01004421536,122844.98995578464
2023-08-09,iPhone 13,East,18,90000,1620000,1081007.2245932913,538992.7754067087
2023-08-09,iPhone 14,South,14,90000,1260000,978278.4699543492,281721.5300456508
2023-08-10,iPhone 15,West,18,70000,1260000,929732.1556736691,330267.84432633093
2023-08-10,iPhone 15,East,3,70000,210000,153867.41622474685,56132.58377525315
2023-08-10,iPhone 15 Pro,East,18,70000,1260000,845765.0074368531,414234.99256314686
2023-08-10,iPhone 13,North,5,120000,600000,438677.8413983714,161322.15860162862
2023-08-10,iPhone 14,North,1,120000,120000,91847.4606412678,28152.539358732203
2023-08-10,iPhone 13,West,9,120000,1080000,883079.4089570642,196920.59104293585
2023-08-11,iPhone 15 Pro,West,18,90000,1620000,1232343.5937515497,387656.4062484503
2023-08-11,iPhone 14,West,9,120000,1080000,695753.0672653572,384246.93273464276
2023-08-11,iPhone 15 Pro,West,16,80000,1280000,845027.9775303253,434972.0224696747
2023-08-11,iPhone 14,North,16,90000,1440000,1155557.370854056,284442.629145944
2023-08-11,iPhone 15,West,17,120000,2040000,1716881.753143003,323118.246856997
2023-08-11,iPhone 13,North,6,120000,720000,516884.8672969619,203115.1327030381
2023-08-11,iPhone 15 Pro,South,5,120000,600000,505163.1485059682,94836.85149403178
2023-08-11,iPhone 14,North,16,80000,1280000,922097.0870807231,357902.91291927686
2023-08-11,iPhone 15,North,2,120000,240000,147863.57678797416,92136.42321202584
2023-08-11,iPhone 15 Pro,South,2,80000,160000,100549.72077654897,59450.27922345103
2023-08-11,iPhone 15,West,7,80000,560000,345627.8842759607,214372.11572403932
2023-08-12,iPhone 15,South,16,120000,1920000,1421158.5973794071,498841.40262059285
2023-08-12,iPhone 13,West,9,80000,720000,497170.05303104845,222829.94696895155
2023-08-12,iPhone 15,East,6,70000,420000,286411.3304516175,133588.66954838252
2023-08-12,iPhone 15 Pro,East,16,90000,1440000,1026224.4292452451,413775.57075475494
2023-08-12,iPhone 15 Pro,East,9,70000,630000,532350.0654568947,97649.93454310531
2023-08-13,iPhone 15 Pro,East,12,90000,1080000,846705.7444652701,233294.25553472992
2023-08-13,iPhone 13,East,13,90000,1170000,731033.5936729395,438966.40632706054
2023-08-13,iPhone 13,West,8,70000,560000,461258.2605433857,98741.7394566143
2023-08-13,iPhone 14,West,3,90000,270000,191573.25842795824,78426.74157204176
2023-08-13,iPhone 13,North,10,120000,1200000,934348.8458353048,265651.1541646952
2023-08-13,iPhone 15 Pro,East,19,70000,1330000,946068.7730593975,383931.22694060253
2023-08-13,iPhone 15 Pro,West,7,70000,490000,329957.17438557383,160042.82561442617
2023-08-14,iPhone 15 Pro,North,9,120000,1080000,874395.681837382,205604.31816261797
2023-08-14,iPhone 14,West,2,70000,140000,99023.95561085429,40976.04438914571
2023-08-14,iPhone 15 Pro,West,14,90000,1260000,769416.1505006487,490583.84949935135
2023-08-14,iPhone 15 Pro,East,2,120000,240000,167473.69327700898,72526.30672299102
2023-08-14,iPhone 15,West,13,80000,1040000,730429.1705955256,309570.82940447435
2023-08-14,iPhone 15,South,9,120000,1080000,893237.9283415787,186762.0716584213
2023-08-14,iPhone 15 Pro,West,4,90000,360000,226009.49175019938,133990.50824980062
2023-08-14,iPhone 14,East,2,90000,180000,114706.89941288433,65293.10058711567
2023-08-14,iPhone 14,East,11,70000,770000,615800.2861119669,154199.71388803306
2023-08-15,iPhone 15,East,4,90000,360000,298252.9979159673,61747.00208403269
2023-08-15,iPhone 15,East,6,70000,420000,307218.761700795,112781.23829920503
2023-08-15,iPhone 15,South,14,120000,1680000,1148111.8239537564,531888.1760462436
2023-08-15,iPhone 15 Pro,South,15,70000,1050000,678934.4244926735,371065.5755073265
2023-08-15,iPhone 15 Pro,South,14,90000,1260000,830707.8196090579,429292.18039094214
2023-08-15,iPhone 13,West,3,70000,210000,176464.8219543399,33535.17804566011
2023-08-15,iPhone 14,North,13,90000,1170000,724646.0120248556,445353.9879751444
2023-08-15,iPhone 14,East,17,90000,1530000,1232577.3271017766,297422.6728982234
2023-08-15,iPhone 14,South,18,70000,1260000,997247.7858857246,262752.2141142754
2023-08-15,iPhone 14,East,5,80000,400000,246272.15909013886,153727.84090986114
2023-08-15,iPhone 13,East,19,120000,2280000,1390305.3850557997,889694.6149442003
2023-08-16,iPhone 13,North,16,70000,1120000,826975.7870036118,293024.2129963882
2023-08-16,iPhone 13,East,17,70000,1190000,714424.1541655409,475575.84583445906
2023-08-16,iPhone 15,North,9,70000,630000,519472.5792165232,110527.42078347679
2023-08-16,iPhone 15 Pro,East,18,90000,1620000,1109769.2349073384,510230.7650926616
2023-08-16,iPhone 15 Pro,South,5,70000,350000,292465.0608716634,57534.93912833661
2023-08-16,iPhone 14,South,19,120000,2280000,1634632.4710420398,645367.5289579602
2023-08-17,iPhone 14,North,1,120000,120000,85888.1200073155,34111.879992684495
2023-08-17,iPhone 15 Pro,North,16,70000,1120000,764228.450156247,355771.549843753
2023-08-17,iPhone 14,North,1,80000,80000,61785.6816350193,18214.318364980703
2023-08-17,iPhone 15 Pro,North,4,80000,320000,242799.6056176739,77200.3943823261
2023-08-17,iPhone 14,West,9,90000,810000,557378.1573386075,252621.84266139253
2023-08-17,iPhone 15 Pro,West,11,120000,1320000,1104548.446068005,215451.55393199506
2023-08-17,iPhone 13,North,7,90000,630000,519032.63691825647,110967.36308174353
2023-08-17,iPhone 15 Pro,North,17,90000,1530000,1038997.7202646212,491002.2797353788
2023-08-18,iPhone 14,South,14,80000,1120000,729788.2878294906,390211.7121705094
2023-08-18,iPhone 14,North,16,120000,1920000,1509894.6744845973,410105.3255154027
2023-08-18,iPhone 14,West,18,90000,1620000,1044994.6289864768,575005.3710135232
2023-08-18,iPhone 15 Pro,South,10,80000,800000,508005.1378939771,291994.8621060229
2023-08-18,iPhone 15,South,16,120000,1920000,1497076.711356101,422923.2886438989
2023-08-18,iPhone 15 Pro,East,17,90000,1530000,1142952.6756992678,387047.32430073223
2023-08-19,iPhone 15 Pro,East,3,120000,360000,251596.52487968013,108403.47512031987
2023-08-19,iPhone 15,North,14,80000,1120000,690811.8550266924,429188.1449733076
2023-08-19,iPhone 14,South,19,80000,1520000,1043786.8117408034,476213.1882591966
2023-08-19,iPhone 15 Pro,South,15,90000,1350000,823675.3398358885,526324.6601641115
2023-08-19,iPhone 14,West,17,70000,1190000,891162.0236704103,298837.9763295897
2023-08-19,iPhone 15,South,1,120000,120000,76703.08312005007,43296.91687994993
2023-08-19,iPhone 15 Pro,North,14,120000,1680000,1388514.9206287444,291485.0793712556
2023-08-19,iPhone 13,West,3,120000,360000,244600.68677281777,115399.31322718223
2023-08-19,iPhone 15,West,6,70000,420000,274357.22480067314,145642.77519932686
2023-08-20,iPhone 15 Pro,North,18,70000,1260000,957831.0081818453,302168.9918181547
2023-08-20,iPhone 13,North,4,80000,320000,254781.85625139074,65218.14374860926
2023-08-20,iPhone 14,North,4,70000,280000,210472.33832278717,69527.66167721283
2023-08-20,iPhone 13,East,16,120000,1920000,1268350.9806009065,651649.0193990935
2023-08-21,iPhone 14,South,4,120000,480000,298039.60920614196,181960.39079385804
2023-08-21,iPhone 14,South,10,80000,800000,668515.5463785774,131484.45362142264
2023-08-21,iPhone 15,East,18,80000,1440000,880118.0541065142,559881.9458934858
2023-08-21,iPhone 15 Pro,North,7,120000,840000,581893.9192729037,258106.0807270963
2023-08-21,iPhone 15 Pro,South,5,90000,450000,326329.37893056206,123670.62106943794
2023-08-21,iPhone 15 Pro,South,6,90000,540000,384626.8742177579,155373.1257822421
2023-08-21,iPhone 14,East,10,90000,900000,734943.4041430854,165056.59585691465
2023-08-21,iPhone 15,East,1,80000,80000,60991.618892356775,19008.381107643225
2023-08-21,iPhone 15,East,12,90000,1080000,724772.855651344,355227.14434865594
2023-08-21,iPhone 15 Pro,West,3,90000,270000,221962.58730756628,48037.41269243372
2023-08-21,iPhone 14,North,18,120000,2160000,1559633.3882693055,600366.6117306945
2023-08-21,iPhone 15 Pro,North,17,90000,1530000,1165464.3741381506,364535.6258618494
2023-08-22,iPhone 15,South,7,80000,560000,386247.8187397243,173752.1812602757
2023-08-22,iPhone 14,North,1,90000,90000,61307.8395927371,28692.160407262898
2023-08-22,iPhone 15 Pro,West,17,80000,1360000,1074115.2435955496,285884.7564044504
2023-08-22,iPhone 14,South,4,80000,320000,209656.28164407247,110343.71835592753
2023-08-22,iPhone 13,North,9,70000,630000,481394.0870371935,148605.91296280653
2023-08-23,iPhone 14,West,6,90000,540000,432753.8736343897,107246.12636561028
2023-08-23,iPhone 15 Pro,North,13,90000,1170000,810586.2183336798,359413.78166632017
2023-08-23,iPhone 15,North,11,120000,1320000,870367.309351856,449632.690648144
2023-08-23,iPhone 13,South,3,90000,270000,173006.9460468043,96993.05395319569
2023-08-23,iPhone 15 Pro,South,2,70000,140000,112545.5443180519,27454.455681948093
2023-08-23,iPhone 15 Pro,East,2,90000,180000,125011.38450934396,54988.61549065604
2023-08-23,iPhone 14,North,8,70000,560000,434295.8970240359,125704.10297596408
2023-08-23,iPhone 15,West,10,90000,900000,605565.5099148551,294434.4900851449
2023-08-23,iPhone 15,West,6,120000,720000,466720.87386264786,253279.12613735214
2023-08-23,iPhone 14,East,2,120000,240000,195055.84964599446,44944.15035400554
2023-08-24,iPhone 14,North,2,80000,160000,134299.66231483806,25700.33768516194
2023-08-24,iPhone 13,North,16,120000,1920000,1211132.1062605584,708867.8937394416
2023-08-24,iPhone 15,East,8,90000,720000,574715.6976784448,145284.3023215552
2023-08-24,iPhone 14,West,9,80000,720000,489495.97776855686,230504.02223144314
2023-08-24,iPhone 15,West,16,120000,1920000,1415055.8746663646,504944.12533363537
2023-08-24,iPhone 14,North,7,120000,840000,625848.5702825908,214151.4297174092
2023-08-25,iPhone 15 Pro,East,4,70000,280000,235458.10161696555,44541.89838303445
2023-08-25,iPhone 14,South,7,120000,840000,692637.2595434362,147362.74045656377
2023-08-25,iPhone 15 Pro,East,13,120000,1560000,1270223.6842274365,289776.31577256345
2023-08-25,iPhone 13,East,15,120000,1800000,1373629.4967540388,426370.50324596115
2023-08-25,iPhone 13,East,11,90000,990000,827432.8554839587,162567.14451604127
2023-08-25,iPhone 15,East,13,90000,1170000,915524.5059645663,254475.49403543375
2023-08-26,iPhone 13,North,11,80000,880000,568460.6512712215,311539.34872877854
2023-08-26,iPhone 13,South,6,90000,540000,389362.1733979202,150637.8266020798
2023-08-26,iPhone 13,North,9,120000,1080000,786830.808848673,293169.191151327
2023-08-27,iPhone 15 Pro,South,2,70000,140000,95194.25731521884,44805.74268478116
2023-08-27,iPhone 14,West,6,90000,540000,367158.91769994376,172841.08230005624
2023-08-27,iPhone 15 Pro,North,15,70000,1050000,892020.868696772,157979.13130322797
2023-08-27,iPhone 15,South,15,70000,1050000,733720.2822533239,316279.71774667606
2023-08-27,iPhone 14,East,7,120000,840000,505691.05054130906,334308.94945869094
2023-08-27,iPhone 13,West,15,90000,1350000,830262.2556382961,519737.74436170387
2023-08-27,iPhone 13,North,17,120000,2040000,1335305.9979383883,704694.0020616117
2023-08-27,iPhone 14,South,16,70000,1120000,891083.034659685,228916.96534031502
2023-08-27,iPhone 13,East,9,80000,720000,541234.7466485305,178765.25335146952
2023-08-28,iPhone 15 Pro,East,9,70000,630000,431689.50160389656,198310.49839610344
2023-08-28,iPhone 13,South,7,90000,630000,389176.92974247184,240823.07025752816
2023-08-29,iPhone 14,North,17,80000,1360000,898900.1098841376,461099.89011586236
2023-08-29,iPhone 15 Pro,North,4,120000,480000,342854.46891216526,137145.53108783474
2023-08-29,iPhone 14,South,19,90000,1710000,1109693.8601291156,600306.1398708844
2023-08-30,iPhone 15,East,3,120000,360000,230103.3913016353,129896.6086983647
2023-08-30,iPhone 15 Pro,West,16,80000,1280000,808301.5732328073,471698.42676719266
2023-08-30,iPhone 13,East,1,90000,90000,74807.6829685653,15192.317031434693
2023-08-30,iPhone 14,East,3,120000,360000,278672.5140224825,81327.4859775175
2023-08-30,iPhone 15 Pro,West,8,90000,720000,464515.8719804451,255484.1280195549
2023-08-30,iPhone 15,North,18,80000,1440000,987440.1586545802,452559.84134541976
2023-08-30,iPhone 15 Pro,North,11,90000,990000,649491.9285216886,340508.07147831144
2023-08-30,iPhone 14,South,1,80000,80000,51266.448194286175,28733.551805713825
2023-08-30,iPhone 13,South,11,90000,990000,633393.9647837541,356606.0352162459
2023-08-30,iPhone 15,South,2,80000,160000,102851.30545168606,57148.69454831394
2023-08-31,iPhone 13,South,5,90000,450000,361328.7115619094,88671.28843809059
2023-08-31,iPhone 15,North,14,80000,1120000,848592.4127274486,271407.5872725514
2023-08-31,iPhone 14,East,13,80000,1040000,718333.2079225462,321666.7920774538
2023-08-31,iPhone 13,East,4,90000,360000,229633.3901726962,130366.6098273038
2023-08-31,iPhone 14,North,15,80000,1200000,742678.7625484803,457321.2374515197
2023-09-01,iPhone 15,North,14,90000,1260000,908245.2397889597,351754.76021104027
2023-09-01,iPhone 15 Pro,North,18,80000,1440000,980047.8336262235,459952.1663737765
2023-09-01,iPhone 15 Pro,North,11,90000,990000,650509.2430147433,339490.7569852567
2023-09-01,iPhone 13,East,10,70000,700000,559095.2957807572,140904.7042192428
2023-09-02,iPhone 15 Pro,East,15,70000,1050000,822581.5671314236,227418.43286857638
2023-09-02,iPhone 15 Pro,South,12,70000,840000,660642.5569796968,179357.44302030315
2023-09-02,iPhone 14,South,18,120000,2160000,1773808.0353786626,386191.96462133736
2023-09-02,iPhone 15,East,1,120000,120000,100301.39156984253,19698.608430157474
2023-09-02,iPhone 15,North,7,80000,560000,408360.19357522443,151639.80642477557
2023-09-03,iPhone 13,North,9,90000,810000,489138.73312979,320861.26687021
2023-09-03,iPhone 14,North,7,90000,630000,524187.710402932,105812.28959706798
2023-09-03,iPhone 13,South,2,120000,240000,176918.30350173463,63081.69649826537
2023-09-03,iPhone 13,North,14,70000,980000,772367.0718397388,207632.92816026125
2023-09-04,iPhone 15 Pro,North,19,120000,2280000,1412044.883972291,867955.1160277091
2023-09-04,iPhone 14,West,3,90000,270000,214068.16273861536,55931.837261384644
2023-09-04,iPhone 14,South,13,120000,1560000,1231546.6924379251,328453.30756207486
2023-09-04,iPhone 13,West,5,90000,450000,293806.7243268054,156193.2756731946
2023-09-04,iPhone 15 Pro,East,15,80000,1200000,827119.8416259917,372880.15837400826
2023-09-04,iPhone 15,West,1,120000,120000,79485.65572758457,40514.34427241543
2023-09-04,iPhone 14,West,12,90000,1080000,794823.3512810654,285176.6487189346
2023-09-05,iPhone 14,West,2,90000,180000,137257.35896329395,42742.641036706045
2023-09-05,iPhone 13,South,8,70000,560000,440412.14682724146,119587.85317275854
2023-09-05,iPhone 14,West,14,90000,1260000,835279.0122159977,424720.9877840023
2023-09-05,iPhone 15,North,14,120000,1680000,1132802.7138493764,547197.2861506236
2023-09-05,iPhone 14,East,17,70000,1190000,838859.23974113,351140.76025886997
2023-09-05,iPhone 13,North,16,70000,1120000,930404.4888566093,189595.51114339067
2023-09-06,iPhone 15,East,6,70000,420000,268646.86123711907,151353.13876288093
2023-09-06,iPhone 15 Pro,West,5,120000,600000,486154.14566361177,113845.85433638823
2023-09-07,iPhone 15,West,6,80000,480000,342687.28808162955,137312.71191837045
2023-09-07,iPhone 15 Pro,West,15,90000,1350000,915776.0728491234,434223.9271508766
2023-09-07,iPhone 14,North,6,90000,540000,364107.28078534326,175892.71921465674
2023-09-07,iPhone 15 Pro,North,4,80000,320000,228047.770328288,91952.229671712
2023-09-07,iPhone 14,West,12,80000,960000,741477.3975184697,218522.60248153028
2023-09-07,iPhone 15 Pro,South,1,90000,90000,59703.05567796511,30296.94432203489
2023-09-08,iPhone 15,South,3,80000,240000,178973.16009283304,61026.839907166956
2023-09-08,iPhone 15 Pro,North,10,80000,800000,565325.0746952789,234674.9253047211
2023-09-08,iPhone 13,East,16,70000,1120000,792971.9597874135,327028.0402125865
2023-09-08,iPhone 15,South,9,80000,720000,553005.4500133584,166994.54998664162
2023-09-08,iPhone 13,East,9,70000,630000,386282.4304837644,243717.5695162356
2023-09-08,iPhone 15,North,10,90000,900000,687931.0579926345,212068.94200736552
2023-09-08,iPhone 15,East,13,80000,1040000,874188.6602891447,165811.33971085527
2023-09-08,iPhone 15,West,5,90000,450000,277084.8495164993,172915.15048350068
2023-09-09,iPhone 13,South,11,90000,990000,600012.4440914455,389987.55590855447
2023-09-09,iPhone 15,West,15,120000,1800000,1310322.4922981495,489677.5077018505
2023-09-09,iPhone 15,North,15,70000,1050000,819332.927039922,230667.07296007802
2023-09-09,iPhone 14,North,2,70000,140000,109194.06091124838,30805.93908875162
2023-09-09,iPhone 15 Pro,West,8,120000,960000,738489.7644354522,221510.23556454782
2023-09-10,iPhone 14,East,5,80000,400000,274850.5799831591,125149.42001684092
2023-09-10,iPhone 14,East,12,70000,840000,700059.4690383772,139940.53096162283
2023-09-10,iPhone 15,South,14,120000,1680000,1220818.9408517752,459181.05914822477
2023-09-10,iPhone 15,West,19,120000,2280000,1612012.9396762177,667987.0603237823
2023-09-10,iPhone 15 Pro,South,10,80000,800000,609531.917128059,190468.08287194103
2023-09-10,iPhone 13,South,9,80000,720000,603122.7486252749,116877.25137472514
2023-09-10,iPhone 15 Pro,West,2,90000,180000,128164.1000758164,51835.8999241836
2023-09-10,iPhone 14,South,15,80000,1200000,1015603.4156061931,184396.58439380687
2023-09-10,iPhone 15 Pro,North,17,120000,2040000,1630036.7590917677,409963.2409082323
2023-09-11,iPhone 14,South,3,120000,360000,225173.8716102513,134826.1283897487
2023-09-11,iPhone 15,North,12,80000,960000,669231.2742266392,290768.7257733608
2023-09-11,iPhone 13,South,19,90000,1710000,1074276.1177759941,635723.8822240059
2023-09-11,iPhone 14,East,8,120000,960000,815336.4171810208,144663.58281897916
2023-09-11,iPhone 13,East,5,120000,600000,410947.7767525433,189052.2232474567
2023-09-11,iPhone 13,West,13,80000,1040000,646744.6974952413,393255.3025047587
2023-09-11,iPhone 13,South,9,120000,1080000,916609.4479066839,163390.5520933161
2023-09-11,iPhone 14,East,1,70000,70000,48321.397866600004,21678.602133399996
2023-09-11,iPhone 14,West,6,70000,420000,288783.3402165945,131216.65978340548
2023-09-11,iPhone 14,South,19,90000,1710000,1134193.58237716,575806.41762284
2023-09-11,iPhone 13,West,9,70000,630000,495567.41207742994,134432.58792257006
2023-09-12,iPhone 14,East,14,80000,1120000,777126.3136160196,342873.68638398044
2023-09-12,iPhone 14,South,3,120000,360000,298322.1832237409,61677.816776259104
2023-09-13,iPhone 13,East,15,90000,1350000,978252.5668994093,371747.4331005907
2023-09-13,iPhone 15 Pro,West,12,120000,1440000,966293.8721604159,473706.12783958414
2023-09-13,iPhone 13,North,1,80000,80000,65112.49132351754,14887.50867648246
2023-09-13,iPhone 14,West,18,90000,1620000,1085139.3109125078,534860.6890874922
2023-09-13,iPhone 13,South,17,70000,1190000,761884.2575183769,428115.7424816231
2023-09-13,iPhone 15,West,18,120000,2160000,1609506.1927390255,550493.8072609745
2023-09-13,iPhone 15 Pro,South,18,90000,1620000,1298228.7600602447,321771.2399397553
2023-09-13,iPhone 14,West,3,80000,240000,171810.0939700311,68189.9060299689
2023-09-14,iPhone 15,East,2,80000,160000,130029.22738344148,29970.77261655852
2023-09-14,iPhone 15,North,13,80000,1040000,800103.6128699833,239896.3871300167
2023-09-14,iPhone 15,North,6,80000,480000,387900.5280038825,92099.4719961175
2023-09-14,iPhone 15,South,16,90000,1440000,1108638.6704226665,331361.3295773335
2023-09-15,iPhone 13,South,16,80000,1280000,1015370.2075858294,264629.7924141706
2023-09-15,iPhone 15 Pro,North,15,120000,1800000,1220887.4262081082,579112.5737918918
2023-09-15,iPhone 13,West,3,120000,360000,245672.53980345468,114327.46019654532
2023-09-15,iPhone 13,West,13,90000,1170000,704251.6073642535,465748.3926357465
2023-09-15,iPhone 15 Pro,West,4,80000,320000,248024.4473851581,71975.5526148419
2023-09-16,iPhone 15,East,8,90000,720000,502220.3784181079,217779.62158189208
2023-09-16,iPhone 15 Pro,East,17,80000,1360000,904193.1465230909,455806.8534769091
2023-09-16,iPhone 14,East,10,90000,900000,615591.8209245717,284408.1790754283
2023-09-16,iPhone 14,East,4,90000,360000,249126.27346955685,110873.72653044315
2023-09-16,iPhone 15,North,4,80000,320000,251146.89567168007,68853.10432831993
2023-09-16,iPhone 13,South,12,70000,840000,685084.0996811008,154915.9003188992
2023-09-17,iPhone 14,West,2,70000,140000,107089.65687514823,32910.34312485177
2023-09-17,iPhone 14,North,1,80000,80000,62821.7159547644,17178.284045235603
2023-09-17,iPhone 13,West,7,120000,840000,688816.1088656073,151183.8911343927
2023-09-17,iPhone 13,North,6,90000,540000,416130.806725704,123869.193274296
2023-09-17,iPhone 14,West,8,90000,720000,466243.17908558383,253756.82091441617
2023-09-17,iPhone 14,West,13,90000,1170000,830359.7458896083,339640.2541103917
2023-09-17,iPhone 15,East,13,80000,1040000,866937.3804994504,173062.61950054963
2023-09-17,iPhone 15,South,18,120000,2160000,1408345.1933037853,751654.8066962147
2023-09-17,iPhone 15,South,4,70000,280000,198025.0341311842,81974.96586881581
